GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
automated-test-generation,default,NotEnoughPrecisionException,8,0,0,0,4,0,2,0,2,0
automated-test-generation,default,Quadratic,197,122,21,13,49,24,15,9,3,4
automated-test-generation,com.fastaccess.tfl.helper,DateHelper,369,0,10,0,81,0,25,0,20,0
automated-test-generation,com.fastaccess.tfl.helper,DateHelper.DateFormats,322,0,0,0,24,0,3,0,3,0
